Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NA_Pval,OFC,OFC_Pval,SUB,SUB_Pval
CPSF4,7.08495448628459e-06,0.999981145005678,0.047651438543462,0.779360782125032,0.0113445916565192,0.939282149585413,-0.0106343592024565,0.959211673291513,-0.00262127367949976,0.98597094916651,-0.0519179959169982,0.743728020580467
INTS3,0.778604090097235,0.0495702371697274,0.106270492703179,0.844416340675809,-0.0914442739530135,0.775544304630033,-0.90498743162348,0.000492238531870441,0.470875090511628,0.1826224549194,-0.0844755571829095,0.822109796726859
S100A4,0.460233993687326,0.388415622144089,0.601708990665019,0.371878509261854,0.311081060902453,0.590759204200308,0.199145554876747,0.707785660119401,0,0,0.091542135049447,0.864089022181584
GATA2,0.43273609277325,0.310005056819338,0.0746773668145465,0.887287993814904,0.0914112913507699,0.840801541841056,0.0869504210525786,0.846945717931055,0.28175777454457,0.517855495151485,0.377904641910341,0.397506827631617
IL1B,0.378483662258303,0.392786172268153,0.706842164329375,0.145511231012136,0.70791659982088,0.131047460419993,-0.0819116794560577,0.858956140053884,0.447553725660052,0.276334416197449,0.0392170232920749,0.92463782636393
MYL9,0.342074408797858,0.485038290234547,0.0339023183259079,0.928394284105921,0.308543235330206,0.390501046060302,-0.000363767248110635,0.998961522380386,0.226452094918041,0.476034656209381,-0.12378187525279,0.66608835105412
LAMA3,0.33202037322434,0.00691938294802943,0.0217562847107763,0.876068422708529,-0.08498003479856,0.525080879923828,0.289990983799598,0.0637665378678406,0.0614140746448356,0.581727822030727,-0.10779601003062,0.427503896699329
PLK1,0.31760567016862,0.391350255628094,0.0378897486890776,0.92270238304338,-0.00681930599615995,0.98643046418824,-0.00398344129844284,0.992583823160319,0.121295174895059,0.713908098477749,0.126219080418262,0.741187900459611
IGF2BP2,0.277495086116385,0.60351771528639,0.00392603706519363,0.990249174326251,-0.0235517922997935,0.965900683888524,-0.0773438350336929,0.781161479954818,0.0266607561829917,0.956575393746915,-0.189146146302706,0.597647192455203
RAC2,0.269751389928286,0.608817299213906,0.257155923295399,0.650029743849215,0.025451115745517,0.962482844053416,0.0755257686607659,0.888385772633745,0.0128098513371296,0.980174486181586,0.209111308218959,0.699957591749106
KIF2C,0.258673310646287,0.498653526422839,-0.0591692359587928,0.894503661048899,0.0857606207643002,0.823519680628778,0.0601981136723462,0.874568741444032,-0.0146421776930551,0.96860829696154,0.0533489867150152,0.902263952018868
STAP2,0.246524800504583,0.557093114496892,0.112408856168229,0.863607967633626,0.0638427838321393,0.88691731902253,-0.0334279973089667,0.950814577225042,0.394411187215018,0.328678933190719,-0.112893823318307,0.821955542386344
NUSAP1,0.24043984108029,0.517395841154886,0.0216074059602095,0.958060503329008,-0.0638826155030056,0.873768183234105,0.0136695217506925,0.964602243021946,0.0889141124172878,0.790544434425524,-0.00935981324470749,0.979098974751056
MKNK1,0.236656809155761,0.0161328781225463,-0.035596197700797,0.843323024813751,-0.0307209194721941,0.759491790465022,-0.00933610314993495,0.938775596716076,-0.0152386087051468,0.854037153852621,0.0573994382409182,0.583435211104196
GSTM2,0.229351693217489,0.0777994608274599,0.0655928173072029,0.623263454895192,0.0257389182737525,0.848014411351087,-0.0554800039532093,0.518357916620262,0.0309831552036328,0.833819629695179,0.0743037742814766,0.53614075945058
ICAM1,0.227912888784278,0.4826213454232,0.366376732964008,0.263248124672895,0.109648888615217,0.755440555400742,-0.00159492524938929,0.994929983490862,0.279618765778906,0.405189143736479,0.0192474424511081,0.952211478886442
PTPN6,0.22736722148861,0.46943189642922,0.0963254309677528,0.744682354956643,0.15106411892821,0.633097501046639,0.0895218725416788,0.715417243351979,0.0586575617338044,0.851538000263161,0.201058589388076,0.432539866924243
COL1A1,0.225595565947014,0.680095369196638,0.403706494097105,0.387222309324293,0,0,-0.109356265323784,0.742149711103126,-0.00746790411674677,0.989455843753856,-0.384462996789248,0.454819536422837
PPARG,0.22439696464854,0.24631015600962,0.129993498873027,0.556865695416391,0.105122472591411,0.515545795828291,0.18398883865124,0.325864049049786,0.267759869952767,0.100046016421714,0.18421311657725,0.363622424663505
LSR,0.222860293618064,0.380362054975182,0.145889185036689,0.674655127498338,0.162138979846445,0.558245798179158,0.097602128835841,0.727977856019307,-0.0526814729946944,0.852013603609786,0.0180853365131786,0.953162556645877
IL4R,0.22233981328905,0.38926158816271,0.240344855306466,0.323124653037629,0.345090217105285,0.192142554858711,0.135297726244109,0.55850637448504,0.187839631400896,0.4474705086482,0.211463791146491,0.409489135169606
PRKCH,0.210940953174413,0.191852897605915,0.0479337314994812,0.854635180868545,0.00552386951197566,0.974383219998758,0.0116233456096279,0.900433439596526,0.105942880655828,0.568461623671004,0.10565806022695,0.514180375560818
GPER1,0.210356545396873,0.346382203125669,-0.0740484741727306,0.776469204311845,0.10400834522625,0.672585172044694,0.0369652987068,0.899250919035896,0.00270027068033189,0.9910155373212,-0.0404094278779682,0.86576960993679
CCDC85B,0.201858056195512,0.392579252170775,0.217591151713442,0.130819542474512,0.227357656270756,0.312250467378732,0.0173002281897806,0.946276010595346,0.14809161753693,0.228501114196309,-0.0723056240107963,0.54439854956995
CASP10,0.200730742834434,0.339364284627836,0.165865143879858,0.484669305836113,0.0276320947995475,0.898173671613078,0.137234321530098,0.420677388704554,0.149099442148997,0.504709020609879,0.115504204284997,0.529623977603382
ADRB2,0.200666801318068,0.446363620354295,0.246538741746126,0.337987691720713,0.0616862137763482,0.81808704160064,0.0796048018684866,0.702460794256374,0.242974144685231,0.35887564268864,0.105991907151062,0.629477513525737
MRPL12,0.195863872367963,0.417156364854432,0.0150816154288869,0.959796401066388,0.166728096908856,0.428571618752767,-0.0150020084052939,0.957502933555682,-0.0669560718700858,0.746909020538534,-0.0144304703645872,0.951043521073692
TSPAN4,0.189196022071223,0.586035817061232,0.134453576743066,0.747563953283088,0.0009943196226091,0.997901587769524,0.167380900698097,0.628671236388683,0.146970996510415,0.675202371982918,-0.242679077283018,0.512357723864253
PRKX,0.187755006530033,0.165719447168789,0.00553492577181506,0.978409144734381,0.0433324505897875,0.754403884495252,0.124667909911483,0.348307819866595,0.00998519603705184,0.943673244673633,0.0283564478406089,0.831480073612018
NOS3,0.184911627114207,0.613923234534463,0.249484211042337,0.584601092696275,0.2318428920517,0.5562655317238,-0.050016910291575,0.889971710104845,0.266721424491739,0.463692472969076,0.142040823917122,0.70531599167846
CCDC92,0.182205199902253,0.445307880472717,0.300341349848889,0.287096734011421,-0.0206611949101573,0.954615770995603,-0.276692578836716,0.299841728006474,0.16749061936019,0.464179719719568,-0.194970825979411,0.371938664166236
PPIC,0.180616440434672,0.52981332190165,0.206437579011346,0.530728582595231,-0.0850014419351525,0.781309709271105,0.0635957949347736,0.838997360913553,0.0278711953673234,0.928647649806029,-0.0754437499876797,0.768781917316022
