triple,mean_rank,AI,CG,DLPFC,NAC,OFC,SUB
A375-24h-0.04uM,1,1,1,1,1,1,1
A375-24h-0.12uM,1,1,1,1,1,1,1
A375-24h-0.37uM,1,1,1,1,1,1,1
A375-24h-1.11uM,1,1,1,1,1,1,1
A375-24h-10uM,1,1,1,1,1,1,1
A375-24h-3.33uM,1,1,1,1,1,1,1
A375-6h-10uM,1,1,1,1,1,1,1
A549-24h-10uM,1,1,1,1,1,1,1
A549-6h-10uM,1,1,1,1,1,1,1
ASC-24h-10uM,1,1,1,1,1,1,1
HA1E-24h-0.04uM,1,1,1,1,1,1,1
HA1E-24h-0.12uM,1,1,1,1,1,1,1
HA1E-24h-0.37uM,1,1,1,1,1,1,1
HA1E-24h-1.11uM,1,1,1,1,1,1,1
HA1E-24h-10uM,1,1,1,1,1,1,1
HA1E-24h-3.33uM,1,1,1,1,1,1,1
HA1E-6h-10uM,1,1,1,1,1,1,1
HCC515-24h-10uM,1,1,1,1,1,1,1
HCC515-24h-3.33uM,1,1,1,1,1,1,1
HCC515-6h-10uM,1,1,1,1,1,1,1
HELA-24h-0.04uM,1,1,1,1,1,1,1
HELA-24h-0.12uM,1,1,1,1,1,1,1
HELA-24h-0.37uM,1,1,1,1,1,1,1
HELA-24h-1.11uM,1,1,1,1,1,1,1
HELA-24h-10uM,1,1,1,1,1,1,1
HELA-24h-3.33uM,1,1,1,1,1,1,1
HEPG2-6h-10uM,1,1,1,1,1,1,1
HT29-24h-0.04uM,1,1,1,1,1,1,1
HT29-24h-0.12uM,1,1,1,1,1,1,1
HT29-24h-0.37uM,1,1,1,1,1,1,1
HT29-24h-1.11uM,1,1,1,1,1,1,1
HT29-24h-10uM,1,1,1,1,1,1,1
HT29-24h-3.33uM,1,1,1,1,1,1,1
HT29-6h-10uM,1,1,1,1,1,1,1
LOVO-6h-10uM,1,1,1,1,1,1,1
MCF7-24h-0.04uM,1,1,1,1,1,1,1
MCF7-24h-0.12uM,1,1,1,1,1,1,1
MCF7-24h-0.37uM,1,1,1,1,1,1,1
MCF7-24h-0.5uM,1,1,1,1,1,1,1
MCF7-24h-1.11uM,1,1,1,1,1,1,1
MCF7-24h-10uM,1,1,1,1,1,1,1
MCF7-24h-3.33uM,1,1,1,1,1,1,1
MCF7-6h-0.5uM,1,1,1,1,1,1,1
MCF7-6h-10uM,1,1,1,1,1,1,1
MCF7-6h-1uM,1,1,1,1,1,1,1
NEU-24h-10uM,1,1,1,1,1,1,1
NPC-24h-10uM,1,1,1,1,1,1,1
PC3-24h-0.04uM,1,1,1,1,1,1,1
PC3-24h-0.12uM,1,1,1,1,1,1,1
PC3-24h-0.37uM,1,1,1,1,1,1,1
PC3-24h-1.11uM,1,1,1,1,1,1,1
PC3-24h-10uM,1,1,1,1,1,1,1
PC3-24h-3.33uM,1,1,1,1,1,1,1
PC3-6h-10uM,1,1,1,1,1,1,1
PHH-24h-10uM,1,1,1,1,1,1,1
SKB-24h-10uM,1,1,1,1,1,1,1
VCAP-24h-10uM,1,1,1,1,1,1,1
VCAP-6h-10uM,1,1,1,1,1,1,1
YAPC-24h-0.04uM,1,1,1,1,1,1,1
YAPC-24h-0.12uM,1,1,1,1,1,1,1
YAPC-24h-0.37uM,1,1,1,1,1,1,1
YAPC-24h-1.11uM,1,1,1,1,1,1,1
YAPC-24h-10uM,1,1,1,1,1,1,1
YAPC-24h-3.33uM,1,1,1,1,1,1,1
FIBRNPC-24h-10uM,1.1666666666666667,1,1,1,1,2,1
HCC515-24h-0.37uM,1.1666666666666667,1,1,2,1,1,1
HEPG2-24h-0.37uM,1.1666666666666667,1,2,1,1,1,1
HEPG2-24h-1.11uM,1.1666666666666667,1,1,1,2,1,1
HEPG2-24h-10uM,1.1666666666666667,1,1,1,2,1,1
HEPG2-24h-3.33uM,1.1666666666666667,1,1,1,2,1,1
MCF7-24h-1uM,1.1666666666666667,1,1,1,1,2,1
MCF7-6h-3uM,1.1666666666666667,1,1,1,2,1,1
PC3-24h-0.5uM,1.1666666666666667,1,1,2,1,1,1
AGS-6h-10uM,1.3333333333333333,1,2,1,2,1,1
MCF10A-24h-10uM,1.3333333333333333,2,1,2,1,1,1
MCF7-24h-0.1uM,1.3333333333333333,2,1,2,1,1,1
NEU-6h-10uM,1.3333333333333333,1,1,2,2,1,1
NPC-6h-10uM,1.3333333333333333,1,1,2,2,1,1
PC3-24h-0.1uM,1.3333333333333333,1,1,2,1,1,2
A549-24h-0.5uM,1.5,1,1,4,1,1,1
A549-24h-1.11uM,1.5,1,1,2,1,2,2
A549-24h-3.33uM,1.5,1,1,2,1,2,2
BT20-24h-10uM,1.5,2,2,1,1,2,1
CD34-24h-10uM,1.5,1,1,2,1,2,2
HCC515-24h-1.11uM,1.5,1,2,2,1,2,1
MCF7-24h-0.001uM,1.5,2,1,2,2,1,1
MCF7-6h-0.1uM,1.5,1,1,2,1,1,3
MDAMB231-24h-10uM,1.5,1,1,1,2,1,3
SW620-6h-10uM,1.5,1,1,2,1,2,2
SW948-6h-10uM,1.5,2,1,2,2,1,1
A549-6h-0.1uM,1.6666666666666667,2,2,2,1,2,1
BT20-24h-1.11uM,1.6666666666666667,2,2,1,1,2,2
BT20-24h-3.33uM,1.6666666666666667,2,2,1,1,2,2
FIBRNPC-6h-10uM,1.6666666666666667,2,1,3,1,2,1
HCC515-24h-0.04uM,1.6666666666666667,2,2,2,1,2,1
HEPG2-24h-0.04uM,1.6666666666666667,3,1,1,2,2,1
HEPG2-24h-0.12uM,1.6666666666666667,2,2,1,3,1,1
HME1-24h-0.04uM,1.6666666666666667,2,2,2,1,2,1
HS578T-24h-10uM,1.6666666666666667,2,1,1,2,2,2
MCF10A-3h-10uM,1.6666666666666667,2,2,1,2,1,2
MCF7-6h-0.01uM,1.6666666666666667,2,1,2,2,1,2
VCAP-24h-1uM,1.6666666666666667,2,1,1,2,2,2
A549-24h-0.12uM,1.8333333333333333,2,2,2,1,2,2
A549-24h-0.1uM,1.8333333333333333,1,3,2,2,2,1
A549-6h-0.01uM,1.8333333333333333,2,3,1,2,2,1
A549-6h-0.5uM,1.8333333333333333,2,3,2,1,2,1
A549-6h-3uM,1.8333333333333333,1,2,1,4,2,1
BT20-24h-0.04uM,1.8333333333333333,3,2,1,1,2,2
EFO27-6h-10uM,1.8333333333333333,2,2,2,2,2,1
HCC515-24h-0.12uM,1.8333333333333333,1,2,2,1,2,3
HME1-24h-0.37uM,1.8333333333333333,2,1,3,1,2,2
HME1-24h-1.11uM,1.8333333333333333,2,2,2,1,2,2
HS578T-24h-0.04uM,1.8333333333333333,1,2,2,2,1,3
MCF7-24h-0.01uM,1.8333333333333333,3,1,2,3,1,1
MCF7-24h-3uM,1.8333333333333333,2,1,3,2,1,2
PC3-24h-1uM,1.8333333333333333,2,1,3,1,2,2
A549-24h-0.04uM,2,2,1,2,1,4,2
A549-24h-0.37uM,2,2,2,2,1,3,2
BT20-24h-0.37uM,2,3,2,1,1,3,2
CORL23-6h-10uM,2,2,1,2,2,2,3
HCC15-6h-10uM,2,2,2,2,2,2,2
HME1-24h-10uM,2,1,2,1,2,2,4
MCF10A-3h-0.37uM,2,2,3,1,3,1,2
MCF10A-3h-3.33uM,2,4,2,1,1,2,2
MCF7-6h-0.001uM,2,5,2,1,2,1,1
MDST8-6h-10uM,2,1,2,1,2,3,3
NCIH596-6h-10uM,2,1,3,3,2,1,2
NEU-24h-0.37uM,2,3,2,2,2,2,1
SKBR3-24h-10uM,2,2,2,1,2,1,4
SKL.C-24h-10uM,2,1,1,2,1,3,4
A549-6h-0.001uM,2.1666666666666665,3,2,1,2,3,2
BT20-24h-1uM,2.1666666666666665,4,2,2,1,2,2
BT20-3h-10uM,2.1666666666666665,3,2,1,1,4,2
HA1E-24h-20uM,2.1666666666666665,2,3,2,2,2,2
HT115-6h-10uM,2.1666666666666665,1,3,3,3,1,2
MCF10A-24h-0.04uM,2.1666666666666665,2,2,3,1,2,3
MCF10A-24h-3.33uM,2.1666666666666665,2,3,2,1,2,3
MCF10A-3h-1.11uM,2.1666666666666665,3,3,1,2,2,2
NCIH508-6h-10uM,2.1666666666666665,1,2,3,1,5,1
NEU-24h-1.11uM,2.1666666666666665,1,1,5,3,2,1
PC3-6h-0.1uM,2.1666666666666665,2,2,1,2,5,1
SKBR3-3h-10uM,2.1666666666666665,2,2,2,2,3,2
SKBR3-6h-10uM,2.1666666666666665,2,3,2,2,2,2
SKL.C-24h-0.04uM,2.1666666666666665,2,2,3,2,2,2
SKM1-6h-10uM,2.1666666666666665,2,3,2,2,1,3
A673-6h-10uM,2.3333333333333335,1,3,3,4,1,2
HCT116-6h-10uM,2.3333333333333335,2,3,2,3,2,2
HEC108-6h-10uM,2.3333333333333335,1,2,3,2,4,2
HEPG2-24h-3uM,2.3333333333333335,2,2,2,3,2,3
HS578T-24h-0.37uM,2.3333333333333335,2,1,2,3,2,4
HS578T-6h-10uM,2.3333333333333335,2,3,2,3,2,2
MCF10A-24h-0.37uM,2.3333333333333335,4,1,3,1,2,3
MDAMB231-24h-1uM,2.3333333333333335,3,2,2,3,2,2
MDAMB231-24h-3.33uM,2.3333333333333335,2,3,2,2,3,2
NPC.TAK-24h-3.33uM,2.3333333333333335,3,2,2,2,3,2
PL21-6h-10uM,2.3333333333333335,2,4,2,2,2,2
SKL-24h-10uM,2.3333333333333335,2,2,2,1,3,4
SKLU1-6h-10uM,2.3333333333333335,3,2,2,2,3,2
SNUC4-6h-10uM,2.3333333333333335,1,4,2,2,3,2
U937-6h-10uM,2.3333333333333335,2,2,2,3,3,2
VCAP-6h-1uM,2.3333333333333335,2,1,4,3,3,1
A549-24h-0.01uM,2.5,2,4,2,2,3,2
DV90-6h-10uM,2.5,1,3,2,4,3,2
H1299-6h-10uM,2.5,4,4,2,2,2,1
HA1E-24h-0.5uM,2.5,3,1,2,3,4,2
HME1-24h-0.12uM,2.5,4,2,3,1,3,2
HME1-24h-3.33uM,2.5,4,2,3,1,3,2
HS578T-3h-1.11uM,2.5,2,2,3,4,2,2
MCF10A-3h-0.04uM,2.5,3,3,3,2,2,2
MCF10A-6h-0.1uM,2.5,3,4,3,1,2,2
MCF10A-6h-0.5uM,2.5,4,2,2,3,3,1
MDAMB231-24h-0.04uM,2.5,2,2,5,3,2,1
MDAMB231-24h-0.1uM,2.5,3,1,2,5,2,2
MDAMB231-24h-0.5uM,2.5,3,2,2,5,2,1
PC3-6h-0.5uM,2.5,1,2,5,2,3,2
SKBR3-6h-1uM,2.5,2,3,3,2,3,2
SKL.C-24h-3.33uM,2.5,2,2,3,1,5,2
SNUC5-6h-10uM,2.5,2,2,2,2,5,2
T3M10-6h-10uM,2.5,2,2,2,2,5,2
A549-24h-1uM,2.6666666666666665,1,4,3,1,3,4
A549-24h-3uM,2.6666666666666665,1,4,4,1,4,2
CD34-24h-0.12uM,2.6666666666666665,3,3,4,1,3,2
HS578T-3h-0.04uM,2.6666666666666665,4,2,3,3,2,2
HUVEC-24h-0.04uM,2.6666666666666665,2,3,3,2,4,2
HUVEC-24h-1.11uM,2.6666666666666665,2,2,4,2,4,2
MCF10A-3h-0.12uM,2.6666666666666665,3,5,1,2,2,3
MDAMB231-3h-0.04uM,2.6666666666666665,2,2,3,3,3,3
NCIH2073-6h-10uM,2.6666666666666665,2,3,2,3,3,3
NEU-24h-0.04uM,2.6666666666666665,2,3,3,3,2,3
NOMO1-6h-10uM,2.6666666666666665,1,3,3,2,5,2
RMGI-6h-10uM,2.6666666666666665,2,2,3,3,5,1
SKBR3-24h-1.11uM,2.6666666666666665,2,3,1,3,3,4
SNGM-6h-10uM,2.6666666666666665,2,3,2,2,2,5
BT20-3h-0.12uM,2.8333333333333335,2,3,2,2,4,4
CD34-24h-0.37uM,2.8333333333333335,4,2,4,1,4,2
HUH7-24h-10uM,2.8333333333333335,2,3,4,3,2,3
HUH7-24h-3uM,2.8333333333333335,2,3,4,4,2,2
HUVEC-24h-3.33uM,2.8333333333333335,2,2,4,2,4,3
JHUEM2-6h-10uM,2.8333333333333335,4,3,2,2,3,3
MDAMB231-6h-10uM,2.8333333333333335,2,2,2,3,5,3
NCIH1836-6h-10uM,2.8333333333333335,1,3,5,2,3,3
NPC.CAS9-24h-0.37uM,2.8333333333333335,2,3,3,3,3,3
SKBR3-3h-3.33uM,2.8333333333333335,2,2,3,3,2,5
SKBR3-6h-0.1uM,2.8333333333333335,2,4,3,3,3,2
VCAP-6h-0.5uM,2.8333333333333335,2,1,5,5,2,2
A375-24h-3uM,3,1,3,4,3,3,4
ASC-24h-1.11uM,3,3,2,4,2,4,3
ASC-24h-3.33uM,3,3,2,4,2,3,4
BT20-3h-0.04uM,3,3,2,2,3,4,4
BT20-3h-0.37uM,3,4,2,2,3,4,3
CD34-24h-3.33uM,3,2,2,4,2,4,4
HS578T-24h-1.11uM,3,3,2,2,3,4,4
HS578T-3h-3.33uM,3,3,3,2,3,4,3
HS578T-6h-0.1uM,3,3,2,4,3,3,3
HT29-24h-0.5uM,3,3,3,3,3,2,4
HUVEC-24h-0.37uM,3,3,5,3,2,3,2
MDAMB231-24h-0.12uM,3,5,1,3,2,5,2
NPC-24h-0.12uM,3,3,4,3,3,2,3
RMUGS-6h-10uM,3,5,2,3,5,2,1
SKBR3-24h-0.04uM,3,5,2,3,4,2,2
CD34-24h-1.11uM,3.1666666666666665,4,2,4,2,4,3
HCC515-6h-0.5uM,3.1666666666666665,3,3,4,2,4,3
HS578T-24h-0.12uM,3.1666666666666665,3,2,3,3,4,4
HS578T-24h-0.1uM,3.1666666666666665,4,2,3,4,4,2
MDAMB231-24h-1.11uM,3.1666666666666665,2,3,3,3,5,3
MDAMB231-3h-10uM,3.1666666666666665,5,4,3,1,3,3
MDAMB231-6h-0.1uM,3.1666666666666665,3,4,3,3,3,3
THP1-6h-10uM,3.1666666666666665,3,4,3,2,5,2
A375-6h-0.1uM,3.3333333333333335,3,3,4,2,4,4
HCC515-6h-0.01uM,3.3333333333333335,4,4,3,2,4,3
HME1-3h-0.04uM,3.3333333333333335,4,3,4,3,3,3
MCF7-24h-5uM,3.3333333333333335,3,2,5,3,2,5
MDAMB231-6h-0.5uM,3.3333333333333335,2,2,3,3,5,5
HS578T-3h-0.12uM,3.5,4,2,4,4,4,3
MCF7-24h-40uM,3.5,5,3,3,3,2,5
MCF7-3h-10uM,3.5,5,3,2,3,5,3
SKBR3-24h-0.1uM,3.5,3,4,3,4,5,2
SKL-24h-3.33uM,3.5,5,2,3,2,5,4
NCIH1694-6h-10uM,3.6666666666666665,5,4,3,2,5,3
NPC.TAK-24h-0.12uM,3.6666666666666665,5,4,5,2,3,3
SKMEL1-6h-10uM,3.6666666666666665,5,5,5,2,3,2
